strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
Lemon G,Sativa,THC 19%,4.4,(211),157 people reported 1055 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['29% of people report feeling creative'],['25% of people say it helps with depression'],['3% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['47% of people report feeling euphoric'],,['46% of people report feeling happy'],,,['29% of people say it helps with pain'],['3% of people report feeling paranoid'],['34% of people say it helps with stress'],['49% of people report feeling uplifted'],,,,,['42% of people report feeling relaxed'],,,,,,,,['2% of people report feeling anxious'],,,,['13% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon G13,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Garlic OG,Hybrid,CBD 8%,4.3,(9),5 people reported 25 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['40% of people say it helps with depression'],,,['20% of people report feeling dry mouth'],,['60% of people report feeling focused'],,,,['40% of people say it helps with pain'],,['40% of people say it helps with stress'],['20% of people report feeling uplifted'],,['40% of people say it helps with fatigue'],['20% of people report feeling giggly'],,['60% of people report feeling relaxed'],,,,,['40% of people report feeling sleepy'],,,,['40% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Gelato,Unavailable,THC 17%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Gorilla Princess,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Grenade,Unavailable,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Hash,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Hash Diesel,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Hash Glue,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Haze,Sativa,THC 19%,4.2,(2362),1670 people reported 12238 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],,['25% of people say it helps with depression'],['9% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['36% of people report feeling dry mouth'],['51% of people report feeling euphoric'],,['65% of people report feeling happy'],,,['17% of people say it helps with pain'],['9% of people report feeling paranoid'],['32% of people say it helps with stress'],['52% of people report feeling uplifted'],,['11% of people say it helps with fatigue'],,,['40% of people report feeling relaxed'],['43% of people report feeling energetic'],,,,,,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Ice,Sativa,THC 18%,4.9,(21),16 people reported 135 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['37% of people say it helps with depression'],,['25% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],['56% of people report feeling euphoric'],['43% of people report feeling focused'],['37% of people report feeling happy'],,,['18% of people say it helps with pain'],['6% of people report feeling paranoid'],['37% of people say it helps with stress'],['50% of people report feeling uplifted'],,['18% of people say it helps with fatigue'],,,,['56% of people report feeling energetic'],,,['18% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Ice Pucker,Unavailable,THC 21%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Icing,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Jack,Sativa,THC 17%,4.3,(140),97 people reported 703 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],,['24% of people say it helps with depression'],['6% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['38% of people report feeling euphoric'],['44% of people report feeling focused'],['55% of people report feeling happy'],,,,['8% of people report feeling paranoid'],['32% of people say it helps with stress'],['52% of people report feeling uplifted'],,['22% of people say it helps with fatigue'],,,,['59% of people report feeling energetic'],,,['15% of people say it helps with headaches'],,,,['11% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Jeffery,Hybrid,Unavailable,4.8,(16),9 people reported 86 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['55% of people say it helps with depression'],,,,['66% of people report feeling euphoric'],['66% of people report feeling focused'],['55% of people report feeling happy'],,,['33% of people say it helps with pain'],,['66% of people say it helps with stress'],['55% of people report feeling uplifted'],,['44% of people say it helps with fatigue'],,,,['77% of people report feeling energetic'],,,['33% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Kush,Hybrid,THC 19%,4.1,(1197),835 people reported 6246 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['28% of people report feeling creative'],['27% of people say it helps with depression'],['9% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['37% of people report feeling dry mouth'],['48% of people report feeling euphoric'],,['61% of people report feeling happy'],,['15% of people say it helps with insomnia'],['22% of people say it helps with pain'],['9% of people report feeling paranoid'],['38% of people say it helps with stress'],['49% of people report feeling uplifted'],,,,,['49% of people report feeling relaxed'],,,,,,,,['6% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Kush Headband,Hybrid,THC 20%,4.7,(9),6 people reported 46 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],,['66% of people say it helps with depression'],,['16% of people report feeling dry eyes'],,['66% of people report feeling euphoric'],['50% of people report feeling focused'],['83% of people report feeling happy'],['16% of people report feeling headache'],,['33% of people say it helps with pain'],,['66% of people say it helps with stress'],['50% of people report feeling uplifted'],,,,,['83% of people report feeling relaxed'],,,['16% of people say it helps with cramps'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Larry Lavender,Hybrid,Unavailable,4.4,(16),7 people reported 50 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['42% of people say it helps with depression'],,['14% of people report feeling dry eyes'],,,['28% of people report feeling focused'],['28% of people report feeling happy'],,,['42% of people say it helps with pain'],,['42% of people say it helps with stress'],['42% of people report feeling uplifted'],,['28% of people say it helps with fatigue'],,,,['42% of people report feeling energetic'],['28% of people say it helps with inflammation'],,,,,,,,,['28% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Lava,Hybrid,Unavailable,4.7,(7),4 people reported 9 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['25% of people report feeling dry eyes'],,['25% of people report feeling euphoric'],['50% of people report feeling focused'],['25% of people report feeling happy'],,,,,,['50% of people report feeling uplifted'],,,,,['50% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Lights,Hybrid,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Lime Punch,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Marmalade,Hybrid,Unavailable,4.8,(17),12 people reported 102 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],,,,,['25% of people report feeling dry mouth'],['83% of people report feeling euphoric'],,['50% of people report feeling happy'],,,,,['33% of people say it helps with stress'],['75% of people report feeling uplifted'],,,,,['50% of people report feeling relaxed'],,,['16% of people say it helps with cramps'],['16% of people say it helps with headaches'],,['50% of people report feeling tingly'],,['8% of people report feeling anxious'],,,,,['16% of people say it helps with bipolar disorder'],,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Meringue,Sativa,THC 21%,4.6,(178),139 people reported 794 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['19% of people say it helps with anxiety'],['44% of people report feeling creative'],['25% of people say it helps with depression'],['2% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['8% of people report feeling dry mouth'],,['34% of people report feeling focused'],['57% of people report feeling happy'],['2% of people report feeling headache'],,,,['25% of people say it helps with stress'],['55% of people report feeling uplifted'],,['16% of people say it helps with fatigue'],,,,['46% of people report feeling energetic'],,,['10% of people say it helps with headaches'],,,,['3% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Mint OG,Hybrid,THC 16%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon OG,Hybrid,THC 19%,4.3,(486),357 people reported 2373 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],,['17% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['43% of people report feeling euphoric'],,['47% of people report feeling happy'],,['17% of people say it helps with insomnia'],['24% of people say it helps with pain'],['4% of people report feeling paranoid'],['27% of people say it helps with stress'],['36% of people report feeling uplifted'],,,,,['58% of people report feeling relaxed'],,,,,,,['28% of people report feeling hungry'],['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon OG Haze,Hybrid,THC 19%,4.4,(52),37 people reported 323 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['32% of people say it helps with depression'],['2% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['62% of people report feeling euphoric'],['48% of people report feeling focused'],['40% of people report feeling happy'],,,['29% of people say it helps with pain'],['8% of people report feeling paranoid'],['40% of people say it helps with stress'],['54% of people report feeling uplifted'],,['27% of people say it helps with fatigue'],,,['70% of people report feeling relaxed'],,,,,,,,['8% of people report feeling anxious'],,['21% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon OZ,Hybrid,THC 23%,5.0,(1),1 people reported 5 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['100% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,,,,,,,['100% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
