strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Elephant,Sativa,THC 16%,4.3,(20),14 people reported 93 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,['7% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['42% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['78% of people report feeling happy'],,['7% of people say it helps with pain'],['7% of people report feeling paranoid'],['50% of people report feeling relaxed'],,,,,,['7% of people report feeling headache'],,,,['50% of people report feeling talkative'],['50% of people report feeling focused'],,,,,,['7% of people say it helps with eye pressure'],,,,,,,,,['7% of people say it helps with spasticity'],,,['7% of people say it helps with arthritis'],,,,,,,,,,,,
Lemon Sativa,Sativa,Unavailable,3.8,(43),34 people reported 252 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['35% of people say it helps with anxiety'],,['23% of people say it helps with depression'],['5% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['35% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['58% of people report feeling happy'],,['26% of people say it helps with pain'],['5% of people report feeling paranoid'],,,['41% of people say it helps with stress'],['38% of people report feeling uplifted'],,['47% of people report feeling creative'],['2% of people report feeling headache'],,,,,['47% of people report feeling focused'],,,,,,,,,,,,['14% of people say it helps with migraines'],,,,,,,,,,,,,,,,,,
Merlot OG,Indica,Unavailable,4.8,(17),14 people reported 97 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['21% of people say it helps with depression'],['28% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['28% of people report feeling dry mouth'],['57% of people report feeling euphoric'],['50% of people report feeling happy'],['28% of people say it helps with insomnia'],,,['64% of people report feeling relaxed'],['28% of people report feeling sleepy'],['35% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,,,,,['28% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey Boo Boo,Indica,THC 14%,4.6,(65),46 people reported 268 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],['2% of people report feeling anxious'],['23% of people say it helps with depression'],['4% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['15% of people report feeling dry mouth'],['39% of people report feeling euphoric'],['34% of people report feeling happy'],,['26% of people say it helps with pain'],['4% of people report feeling paranoid'],['56% of people report feeling relaxed'],['30% of people report feeling sleepy'],['28% of people say it helps with stress'],['26% of people report feeling uplifted'],,,,,,['17% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Lava,Hybrid,Unavailable,4.7,(7),4 people reported 3 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['25% of people report feeling dry eyes'],,,,,,,['25% of people report feeling relaxed'],,,,,,,,,,,['25% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5 Haze,Hybrid,THC 24%,4.7,(3),3 people reported 22 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,,['33% of people report feeling dizzy'],,['33% of people report feeling dry mouth'],,,,['33% of people say it helps with pain'],,,['33% of people report feeling sleepy'],['33% of people say it helps with stress'],['66% of people report feeling uplifted'],['66% of people report feeling hungry'],,['33% of people report feeling headache'],,['33% of people say it helps with fatigue'],,,,,['33% of people say it helps with lack of appetite'],['66% of people report feeling tingly'],,['66% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Viper,Sativa,THC 21%,4.4,(54),38 people reported 279 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['7% of people report feeling anxious'],['36% of people say it helps with depression'],['10% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],,['63% of people report feeling happy'],,['18% of people say it helps with pain'],,,,['34% of people say it helps with stress'],['50% of people report feeling uplifted'],,['44% of people report feeling creative'],['5% of people report feeling headache'],['60% of people report feeling energetic'],['21% of people say it helps with fatigue'],,['42% of people report feeling talkative'],,['13% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mataro Blue,Indica,THC 23%,4.5,(52),42 people reported 284 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],['2% of people report feeling anxious'],['23% of people say it helps with depression'],['7% of people report feeling dizzy'],['4% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['40% of people report feeling euphoric'],['52% of people report feeling happy'],['23% of people say it helps with insomnia'],['23% of people say it helps with pain'],,['92% of people report feeling relaxed'],['35% of people report feeling sleepy'],['30% of people say it helps with stress'],['35% of people report feeling uplifted'],,,['4% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funky Monkey,Indica,THC 18%,4.2,(33),22 people reported 201 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['36% of people say it helps with anxiety'],,['27% of people say it helps with depression'],['9% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['31% of people report feeling dry mouth'],,['50% of people report feeling happy'],,['45% of people say it helps with pain'],,['50% of people report feeling relaxed'],,['31% of people say it helps with stress'],['50% of people report feeling uplifted'],,,['9% of people report feeling headache'],,,,['36% of people report feeling talkative'],,,['31% of people say it helps with lack of appetite'],,,['45% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Super Kush,Indica,THC 19%,4.1,(85),58 people reported 459 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['34% of people say it helps with anxiety'],['6% of people report feeling anxious'],['20% of people say it helps with depression'],['8% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['74% of people report feeling happy'],['18% of people say it helps with insomnia'],['25% of people say it helps with pain'],['6% of people report feeling paranoid'],['77% of people report feeling relaxed'],,['44% of people say it helps with stress'],['53% of people report feeling uplifted'],['37% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddha Haze,Sativa,Unavailable,4.6,(45),34 people reported 246 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['17% of people say it helps with anxiety'],['2% of people report feeling anxious'],['29% of people say it helps with depression'],['2% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['55% of people report feeling euphoric'],['58% of people report feeling happy'],,['23% of people say it helps with pain'],['2% of people report feeling paranoid'],,,['26% of people say it helps with stress'],['64% of people report feeling uplifted'],,['44% of people report feeling creative'],,['47% of people report feeling energetic'],,,,,,['17% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dank Sinatra,Hybrid,THC 18%,4.3,(17),11 people reported 32 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,['9% of people report feeling dizzy'],,['18% of people report feeling dry mouth'],,['36% of people report feeling happy'],['9% of people say it helps with insomnia'],['18% of people say it helps with pain'],,['45% of people report feeling relaxed'],['18% of people report feeling sleepy'],,['9% of people report feeling uplifted'],,,['9% of people report feeling headache'],,['9% of people say it helps with fatigue'],,,,['9% of people say it helps with headaches'],['9% of people say it helps with lack of appetite'],,,['18% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Mandarin Zkittlez,Hybrid,Unavailable,3.8,(9),7 people reported 36 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['14% of people say it helps with depression'],,['14% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['42% of people report feeling euphoric'],['42% of people report feeling happy'],['14% of people say it helps with insomnia'],,,['57% of people report feeling relaxed'],['42% of people report feeling sleepy'],,,,,,,,,,['28% of people report feeling focused'],,,,,,['28% of people say it helps with eye pressure'],['14% of people say it helps with cramps'],,,['14% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
